2020,"6,055,802","987,352","68,546",11.3,3.6,8.5,70.2,2020,"60,075",992.0,391,5.7,77.3,Heart Dis,"12,624",208.5,"10,798",178.3,"3,166",52.3,"2,085",34.4,"1,785",29.5
2019,"6,045,680","959,396","70,130",11.6,3.8,8.7,69.9,2019,"50,873",841.5,414,5.9,79.3,Heart Dis,"11,785",194.9,"10,753",177.9,"3,053",50.5,"2,155",35.6,"1,514",25.0
2018,"6,042,718","931,136","71,037",11.8,3.8,8.9,70.0,2018,"50,668",838.5,432,6.1,79.2,Heart Dis,"11,697",193.6,"10,936",181.0,"2,884",47.7,"2,235",37.0,"1,421",23.5
2017,"6,052,177","904,671","71,589",11.8,3.8,8.9,69.6,2017,"50,009",826.3,462,6.5,79.2,Heart Dis,"11,670",164.8,"10,800",151.5,"2,822",40.2,"2,077",29.9,"1,439",20.3
2016,"6,016,447","876,210","73,073",12.1,4.2,8.6,67.8,2016,"48,884",812.5,478,6.5,79.1,Heart Dis,"11,408",189.6,"10,919",181.5,"2,706",45.0,"2,073",34.5,"1,357",22.6
2015,"6,006,401","849,571","73,544",12.2,4.4,8.6,62.2,2015,"47,688",786.4,491,6.7,79.5,Heart Dis,"11,483",191.2,"10,565",175.9,"2,539",42.3,"2,038",33.9,"1,244",20.7
2014,"5,976,407","822,260","73,588",12.3,4.6,8.6,66.6,2014,"45,688",764.5,476,6.5,79.8,Heart Dis,"11,091",185.6,"10,713",179.3,"2,446",40.9,"1,904",31.9,"1,297",21.7
2013,"5,928,814","794,981","71,806",12.1,5.2,8.5,67.0,2013,"45,444",766.5,474,6.6,79.7,Heart Dis,"11,176",188.5,"10,545",177.9,"2,290",38.6,"2,044",34.5,"1,242",20.9
2012,"5,884,563","763,019","72,751",12.4,6.0,8.8,67.9,2012,"44,110",749.6,458,6.3,79.7,Heart Dis,"10,867",184.7,"10,402",176.8,"2,238",38.0,"1,948",33.1,"1,208",20.5
2011,"5,828,289","729,488","73,052",12.5,6.7,8.9,67.7,2011,"43,650",748.9,493,6.7,79.5,Heart Dis,"10,567",181.3,"10,223",175.4,"2,312",39.7,"2,064",35.4,"1,272",21.8
2010,"5,773,552","707,642","73,783",12.8,7.4,8.8,69.0,2010,"43,255",749.2,496,6.7,79.3,Heart Dis,"10,898",188.8,"10,249",177.5,"2,262",39.2,"2,035",35.3,"1,186",20.5
2009,"5,699,478","694,796","74,999",13.2,8.3,9.2,80.2,2009,"43,763",767.8,541,7.2,78.6,Heart Dis,"11,143",195.5,"10,376",182.1,"2,281",40.0,"2,049",36.0,"1,198",21.0
2008,"5,633,597","679,565","77,268",13.7,8.6,9.3,80.2,2008,"43,849",778.3,617,8.0,78.4,Heart Dis,"11,217",199.1,"10,345",183.6,"2,250",39.9,"1,955",34.7,"1,237",22.0
2007,"5,618,344","661,809","78,057",13.9,8.9,9.1,79.5,2007,"43,597",776.0,622,8.0,78.1,Heart Dis,"11,346",201.9,"10,142",180.5,"2,238",39.8,"1,898",33.8,"1,297",23.1
2006,"5,615,727","650,568","77,430",13.8,8.8,9.4,80.4,2006,"43,491",774.5,615,7.9,78.0,Heart Dis,"11,191",199.3,"10,336",184.1,"2,358",42.0,"1,827",32.5,"1,230",21.9
2005,"5,600,388","644,560","74,880",13.4,8.5,9.2,81.3,2005,"43,778",781.7,545,7.3,78.0,Heart Dis,"11,564",206.5,"10,349",184.8,"2,465",44.0,"1,889",33.7,"1,385",24.7
2004,"5,558,058","634,743","74,500",13.4,8.5,9.4,82.3,2004,"43,157",776.5,632,8.5,77.7,Heart Dis,"11,271",202.8,"10,146",182.5,"2,712",48.8,"1,902",34.2,"1,410",25.4
