call_number,date,location,district,neighborhood,zip_code
P221761572,2022-06-25,EDMONDSON AV and POPLAR GROVE ST BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P221800526,2022-06-29,2400 BLK BRENTWOOD AV BALTIMORE MD,ND,Barclay,21218
P221721938,2022-06-21,2400 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P221801774,2022-06-29,3700 W BELVEDERE AV BALTIMORE MD,NW,Arlington,21215
P221723899,2022-06-21,6600 HOLABIRD AV BALTIMORE MD,SE,Broening Manor,21224
P221892861,2022-07-08,6100 HOLABIRD AV BALTIMORE MD,SE,Broening Manor,21224
P220803570,2022-03-21,W LANVALE ST and N FULTON AV BALTIMORE MD,WD,Harlem Park,21217
P222451728,2022-09-02,4400 GARRISON BL BALTIMORE MD,NW,Dolfield,21215
P221820832,2022-07-01,1500 WASHINGTON BL BALTIMORE MD,SD,Carroll Park,21230
P221823084,2022-07-01,SHOPPERS BALTIMORE MD,WD,Mondawmin,21215
P221824123,2022-07-01,100 E FAYETTE ST BALTIMORE MD,CD,Downtown,21202
P221830826,2022-07-02,2700 WASHINGTON BL BALTIMORE MD,SW,Morrell Park,21230
P220704064,2022-03-11,1800 HOLLINS ST BALTIMORE MD,SD,Franklin Square,21223
P220704879,2022-03-11,4400 BOWLEYS LN BALTIMORE MD,NE,Frankford,21206
P221931596,2022-07-12,3000 BRENDAN AV BALTIMORE MD,NE,Belair-Edison,21213
P220742080,2022-03-15,1000 E BALTIMORE ST BALTIMORE MD,SE,Jonestown,21202
P221933531,2022-07-12,1900 WHISTLER AV BALTIMORE MD,SW,Morrell Park,21230
P221952041,2022-07-14,1500 W NORTH AV BALTIMORE MD,WD,Druid Heights,21217
P221960013,2022-07-15,300 S PAYSON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221963174,2022-07-15,METRO STATION - PENN NORTH BALTIMORE MD,WD,Penn North,21217
P222911716,2022-10-18,W NORTH AV and W MT ROYAL AV BALTIMORE MD,CD,Bolton Hill,21217
P221971211,2022-07-16,E BIDDLE ST and N CHARLES ST BALTIMORE MD,CD,Mid-Town Belvedere,21201
P221974106,2022-07-16,3400 CLIFTON AV BALTIMORE MD,SW,Mount Holly,21216
P223522006,2022-12-18,S BETHEL ST and E PRATT ST BALTIMORE MD,SE,Washington Hill,21231
P220811902,2022-03-22,3700 BLK W BELVEDERE AV BALTIMORE MD,NW,Arlington,21215
P220813638,2022-03-22,2600 GREENMOUNT AV BALTIMORE MD,ND,Harwood,21218
P220823661,2022-03-23,1300 W PRATT ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P220831836,2022-03-24,1800 N PORT ST BALTIMORE MD,ED,Broadway East,21213
P222953431,2022-10-22,POPLAR GROVE ST and RAYNER AV BALTIMORE MD,WD,Franklintown Road,21216
P222971248,2022-10-24,PARK AV and W LEXINGTON ST BALTIMORE MD,CD,Downtown,21201
P220052870,2022-01-05,2100 WINDSOR GARDENS LN BALTIMORE MD,SW,Wakefield,21207
P222003056,2022-07-19,600 S MACON ST BALTIMORE MD,SE,Greektown,21224
P223532905,2022-12-19,W NORTH AV and N CAREY ST BALTIMORE MD,WD,Penn North,21217
P223550933,2022-12-21,2100 FLEET ST BALTIMORE MD,SE,Fells Point,21231
P220863092,2022-03-27,1000 FORREST ST BALTIMORE MD,ED,Penn-Fallsway,21202
P220871033,2022-03-28,N EUTAW ST and W LEXINGTON ST BALTIMORE MD,CD,Downtown,21201
