incident,date,location,county
P1,2022-01-01,HAGERSTOWN,Washington
P2,2022-01-01,HAGERSTOWN,Washington
P3,2022-01-03,FUNKSTOWN,Washington
P4,2022-01-04,SMITHSBURG,Washington
P5,2022-01-04,HAGERSTOWN,Washington
P6,2022-01-04,HAGERSTOWN,Washington
P7,2022-01-05,HAGERSTOWN,Washington
P8,2022-01-05,HAGERSTOWN,Washington
P9,2022-01-06,HAGERSTOWN,Washington
P10,2022-01-06,HALFWAY,Washington
P11,2022-01-07,CLEAR SPRING,Washington
P12,2022-01-07,HAGERSTOWN,Washington
P13,2022-01-07,HALFWAY,Washington
P14,2022-01-09,LONG MEADOW,Washington
P15,2022-01-09,BOONSBORO,Washington
P16,2022-01-10,HAGERSTOWN,Washington
P17,2022-01-10,FAIRPLAY,Washington
P18,2022-01-10,HAGERSTOWN,Washington
P19,2022-01-11,HAGERSTOWN,Washington
P20,2022-01-11,HAGERSTOWN,Washington
P21,2022-01-13,FAIRPLAY,Washington
P22,2022-01-13,HAGERSTOWN,Washington
P23,2022-01-13,HALFWAY,Washington
P24,2022-01-14,HAGERSTOWN,Washington
P25,2022-01-14,HAGERSTOWN,Washington
P26,2022-01-14,FAIRPLAY,Washington
P27,2022-01-15,OUT OF COUNTY,Washington
P28,2022-01-15,HAGERSTOWN,Washington
P29,2022-01-17,HAGERSTOWN,Washington
P30,2022-01-18,SMITHSBURG,Washington
P31,2022-01-18,HAGERSTOWN,Washington
P32,2022-01-19,MAUGANSVILLE,Washington
P33,2022-01-20,HALFWAY,Washington
P34,2022-01-21,HAGERSTOWN,Washington
P35,2022-01-22,HAGERSTOWN,Washington
P36,2022-01-22,HAGERSTOWN,Washington
P37,2022-01-22,HAGERSTOWN,Washington
P38,2022-01-22,HALFWAY,Washington
P39,2022-01-23,HAGERSTOWN,Washington
P40,2022-01-23,WILLIAMSPORT,Washington
P41,2022-01-23,HAGERSTOWN,Washington
P42,2022-01-23,HAGERSTOWN,Washington
P43,2022-01-23,WILLIAMSPORT,Washington
P44,2022-01-24,HALFWAY,Washington
P45,2022-01-24,WILLIAMSPORT,Washington
P46,2022-01-26,HAGERSTOWN,Washington
P47,2022-01-26,HAGERSTOWN,Washington
P48,2022-01-26,13010,Washington
